# 补字表
#
# 教科书里有些生僻字在 PDF 的文本层里根本不存在——排版时是画上去的，
# 抽出来只剩一个空洞。pdfdump 会把空洞标成 □ 并报出位置，这张表按位置把字补回去。
# 每个字都是照着课本的注音和上下文认定的，逐个核对过。
#
# 两种写法：
#   gap   册 / 页 / 区块 / 这一页这个区块里第几个空洞（从 0 数） / 补什么
#   head  册 / 页 / body  / 行首那几个字                        / 补在行首
#   tail  册 / 页 / body  / 行尾那几个字                        / 补在行尾
# 行首行尾掉的字撑不出空洞，只能这么点名。
#
# 补 ¶ 的那一处不是缺字，是词的上下阕之间留的白，标出来好断段。

gap	必修上	90	body	0	輮	虽有槁暴，不复挺者，輮使之然也
gap	必修上	90	note	0	輮	〔輮（róu）〕同「煣」
gap	必修上	146	note	0	薆	〔爱〕同「薆（ài）」，隐藏
gap	必修下	14	body	0	騞	奏刀騞然
gap	必修下	14	note	0	騞	﹝奏刀騞（huō）然〕
gap	必修下	14	note	1	騞	进刀时发出「騞」的声音
gap	必修下	14	note	2	騞	騞，拟声词
gap	必修下	14	note	3	軱	﹝軱（gū）〕大骨
gap	必修下	92	note	0	駃騠	〔駃騠（juétí）〕骏马名
gap	必修下	163	body	0	¶	念奴娇·过洞庭　上下阕之间的留白
gap	选必上	53	body	0	絖	我世世为洴澼絖
gap	选必上	53	note	0	絖	〔洴澼絖（kuànɡ）〕
gap	选必上	53	note	1	絖	絖，同「纩」
gap	选必上	54	body	0	絖	洴澼絖，则所用之异也
gap	选必下	8	body	0	鞿	余虽好修姱以鞿羁兮
gap	选必下	8	note	0	鞿	〔……以鞿（jī）羁兮〕
gap	选必下	8	note	1	鞿	鞿羁，喻指束缚、约束
gap	选必下	8	note	2	鞿	鞿，束缚
gap	选必下	8	note	3	纕	〔既替余以蕙纕（xiāng）兮〕
gap	选必下	8	note	4	纕	纕，佩带
gap	选必下	18	body	0	巉	畏途巉岩不可攀
gap	选必下	18	note	0	巉	〔巉（chán）岩〕
gap	选必下	21	body	0	巘	重湖叠巘清嘉
gap	选必中	89	body	0	餔	何不餔其糟而啜其醨
gap	选必中	89	note	0	餔	〔餔（bū）其糟……〕
gap	选必中	89	note	1	餔	餔，吃
gap	选必中	130	note	0	摐	〔摐（chuānɡ）金伐鼓〕
gap	选必中	130	note	1	摐	摐，撞击

head	选必中	130	body	金伐鼓	摐	摐金伐鼓下榆关
tail	选必下	8	body	既替余以蕙	纕	既替余以蕙纕兮
